lat_index,lon_index,latitude,longitude,missing_count,valid_count,missing_fraction,longest_consecutive_missing,number_of_missing_runs,first_missing_date,last_missing_date
81,47,25.25,56.75,1395,24,0.9830866807610994,788,3,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
82,47,25.5,56.75,1395,24,0.9830866807610994,788,3,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
82,48,25.5,57.0,1395,24,0.9830866807610994,788,3,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
94,17,28.5,49.25,1391,28,0.9802677942212826,1167,5,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
95,18,28.75,49.5,1387,32,0.9774489076814659,1183,4,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
79,48,24.75,57.0,1363,56,0.9605355884425651,583,3,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
80,48,25.0,57.0,1363,56,0.9605355884425651,583,3,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
81,48,25.25,57.0,1363,56,0.9605355884425651,583,3,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
93,17,28.25,49.25,1359,60,0.9577167019027484,1167,4,2021-01-01T00:00:00.000000000,2024-11-07T00:00:00.000000000
97,20,29.25,50.0,1343,76,0.9464411557434813,1167,3,2021-01-01T00:00:00.000000000,2024-10-06T00:00:00.000000000
94,18,28.5,49.5,1287,132,0.9069767441860465,583,4,2021-01-01T00:00:00.000000000,2024-09-28T00:00:00.000000000
96,19,29.0,49.75,1287,132,0.9069767441860465,583,4,2021-01-01T00:00:00.000000000,2024-09-28T00:00:00.000000000
84,42,26.0,55.5,1235,184,0.8703312191684285,1167,4,2021-01-01T00:00:00.000000000,2024-11-03T00:00:00.000000000
95,19,28.75,49.75,1211,208,0.8534178999295279,583,6,2021-01-01T00:00:00.000000000,2024-09-28T00:00:00.000000000
96,20,29.0,50.0,1211,208,0.8534178999295279,583,6,2021-01-01T00:00:00.000000000,2024-09-28T00:00:00.000000000
93,18,28.25,49.5,1203,216,0.8477801268498943,583,5,2021-01-01T00:00:00.000000000,2024-09-28T00:00:00.000000000
80,49,25.0,57.25,1191,228,0.8393234672304439,136,22,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
81,49,25.25,57.25,1191,228,0.8393234672304439,136,22,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
83,41,25.75,55.25,1187,232,0.8365045806906272,1167,3,2021-01-01T00:00:00.000000000,2024-10-10T00:00:00.000000000
84,41,26.0,55.25,1187,232,0.8365045806906272,1167,3,2021-01-01T00:00:00.000000000,2024-10-10T00:00:00.000000000
83,40,25.75,55.0,1179,240,0.8308668076109936,1167,2,2021-01-01T00:00:00.000000000,2024-10-10T00:00:00.000000000
68,185,22.0,91.25,1171,248,0.8252290345313601,508,20,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
78,49,24.5,57.25,1119,300,0.7885835095137421,104,29,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
79,49,24.75,57.25,1119,300,0.7885835095137421,104,29,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
81,50,25.25,57.5,739,680,0.5207892882311487,80,37,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
63,109,20.75,72.25,728,691,0.5130373502466525,104,28,2021-02-25T00:00:00.000000000,2024-11-11T00:00:00.000000000
77,50,24.25,57.5,691,728,0.4869626497533474,68,40,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
78,50,24.5,57.5,691,728,0.4869626497533474,68,40,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
79,50,24.75,57.5,691,728,0.4869626497533474,68,40,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
80,50,25.0,57.5,691,728,0.4869626497533474,68,40,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
79,36,24.75,54.0,643,776,0.45313601127554615,232,12,2021-01-01T00:00:00.000000000,2023-02-14T00:00:00.000000000
67,185,21.75,91.25,612,807,0.4312896405919662,340,12,2021-06-21T00:00:00.000000000,2024-11-19T00:00:00.000000000
67,186,21.75,91.5,612,807,0.4312896405919662,340,12,2021-06-21T00:00:00.000000000,2024-11-19T00:00:00.000000000
82,39,25.5,54.75,591,828,0.4164904862579281,212,7,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
83,39,25.75,54.75,591,828,0.4164904862579281,212,7,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
84,39,26.0,54.75,591,828,0.4164904862579281,212,7,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
84,40,26.0,55.0,591,828,0.4164904862579281,212,7,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
81,38,25.25,54.5,587,832,0.41367159971811135,180,8,2021-01-01T00:00:00.000000000,2022-10-05T00:00:00.000000000
67,184,21.75,91.0,576,843,0.4059196617336152,340,13,2021-06-29T00:00:00.000000000,2024-11-19T00:00:00.000000000
81,51,25.25,57.75,563,856,0.3967582804792107,56,37,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
79,34,24.75,53.5,555,864,0.39112050739957716,232,11,2021-01-01T00:00:00.000000000,2023-01-17T00:00:00.000000000
79,35,24.75,53.75,555,864,0.39112050739957716,232,11,2021-01-01T00:00:00.000000000,2023-01-17T00:00:00.000000000
83,38,25.75,54.5,547,872,0.3854827343199436,136,13,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
82,38,25.5,54.5,535,884,0.3770260747004933,80,14,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
66,186,21.5,91.5,520,899,0.3664552501761804,340,10,2021-06-21T00:00:00.000000000,2024-11-19T00:00:00.000000000
80,37,25.0,54.25,519,900,0.3657505285412262,148,11,2021-01-01T00:00:00.000000000,2022-11-18T00:00:00.000000000
80,51,25.0,57.75,519,900,0.3657505285412262,56,37,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
80,36,25.0,54.0,475,944,0.3347427766032417,128,12,2021-01-01T00:00:00.000000000,2022-11-18T00:00:00.000000000
